transcript_length	ensembl_peptide_id_version	external_gene_name	gene_biotype
ENSMUSG00000042638	3959	ENSMUSP00000032338.7	Gucy2c	protein_coding
ENSMUSG00000042641	3642	ENSMUSP00000135642.1	Rgsl1	protein_coding
ENSMUSG00000042642	3007	ENSMUSP00000051366.4	Flad1	protein_coding
ENSMUSG00000042644	8990	ENSMUSP00000038150.8	Itpr3	protein_coding
ENSMUSG00000042647	3881	ENSMUSP00000046497.6	Acad12	protein_coding
ENSMUSG00000042650	5730	ENSMUSP00000049116.3	Alkbh5	protein_coding
ENSMUSG00000042655	1310	ENSMUSP00000042302.4	Shisal2b	protein_coding
ENSMUSG00000042659	3905	ENSMUSP00000044578.7	Arrdc4	protein_coding
ENSMUSG00000042660	1498	ENSMUSP00000039010.7	Wdr55	protein_coding
ENSMUSG00000042662	2993	ENSMUSP00000123090.1	Dusp15	protein_coding
ENSMUSG00000042670	955	ENSMUSP00000049044.5	Immp1l	protein_coding
ENSMUSG00000042671	8474	ENSMUSP00000045715.5	Rgs8	protein_coding
ENSMUSG00000042672	2342	ENSMUSP00000065502.6	Dcst1	protein_coding
ENSMUSG00000042675	1594	ENSMUSP00000101964.1	Ypel3	protein_coding
ENSMUSG00000042677	2755	ENSMUSP00000037172.7	Zc3h12a	protein_coding
ENSMUSG00000042678	11769	ENSMUSP00000071777.2	Myo15	protein_coding
ENSMUSG00000042680	4932	ENSMUSP00000157254.1	Garem1	protein_coding
ENSMUSG00000042682	1678	ENSMUSP00000107887.1	Selenok	protein_coding
ENSMUSG00000042684	1735	ENSMUSP00000037454.7	Npl	protein_coding
ENSMUSG00000042686	4809	ENSMUSP00000039072.4	Jph1	protein_coding
ENSMUSG00000042688	4089	ENSMUSP00000129024.1	Mapk6	protein_coding
ENSMUSG00000042694	1992	ENSMUSP00000040944.8	Stn1	protein_coding
ENSMUSG00000042699	4616	ENSMUSP00000038135.5	Dhx9	protein_coding
ENSMUSG00000042700	8215	ENSMUSP00000131030.2	Sipa1l1	protein_coding
ENSMUSG00000042705	2425	ENSMUSP00000157292.1	Commd10	protein_coding
ENSMUSG00000042707	2133	ENSMUSP00000047783.3	Dnali1	protein_coding
ENSMUSG00000042708	2375	ENSMUSP00000137625.1	Shcbp1l	protein_coding
ENSMUSG00000042709	1813	ENSMUSP00000104361.1	Atpaf2	protein_coding
ENSMUSG00000042712	1019	ENSMUSP00000047474.4	Tceal9	protein_coding
ENSMUSG00000042717	6965	ENSMUSP00000049054.4	Ppp1r3a	protein_coding
ENSMUSG00000042719	5447	ENSMUSP00000038977.8	Naa25	protein_coding
ENSMUSG00000042724	4564	ENSMUSP00000041819.7	Map3k9	protein_coding
ENSMUSG00000042726	3083	ENSMUSP00000143426.1	Trafd1	protein_coding
ENSMUSG00000042729	1204	ENSMUSP00000043315.9	Wdr74	protein_coding
ENSMUSG00000042734	4754	ENSMUSP00000152038.1	Ttc9	protein_coding
ENSMUSG00000042737	827	ENSMUSP00000103086.1	Dpm3	protein_coding
ENSMUSG00000042742	4462	ENSMUSP00000144704.1	Bmt2	protein_coding
ENSMUSG00000042743	3048	ENSMUSP00000041307.7	Sgtb	protein_coding
ENSMUSG00000042744	15482	ENSMUSP00000048345.6	Hectd4	protein_coding
ENSMUSG00000042745	1160	ENSMUSP00000105449.1	Id1	protein_coding
ENSMUSG00000042747	1172	ENSMUSP00000043540.6	Krtcap2	protein_coding
ENSMUSG00000042750	903	ENSMUSP00000043113.7	Bex2	protein_coding
ENSMUSG00000042751	4638	ENSMUSP00000140585.1	Nmnat2	protein_coding
ENSMUSG00000042757	3574	ENSMUSP00000046021.8	Tmem108	protein_coding
ENSMUSG00000042759	3685	ENSMUSP00000042028.6	Apobr	protein_coding
ENSMUSG00000042761	2112	ENSMUSP00000108774.1	Mrap2	protein_coding
ENSMUSG00000042763	2727	ENSMUSP00000066000.7	Maneal	protein_coding
ENSMUSG00000042766	3252	ENSMUSP00000103088.1	Trim46	protein_coding
ENSMUSG00000042770	1058	ENSMUSP00000042232.7	Hebp1	protein_coding
ENSMUSG00000042772	5792	ENSMUSP00000041241.8	Smg7	protein_coding
ENSMUSG00000042774	1992	ENSMUSP00000038992.5	Olfr1353	protein_coding
ENSMUSG00000042784	2242	ENSMUSP00000041963.3	Muc1	protein_coding
ENSMUSG00000042787	3832	ENSMUSP00000035094.6	Exog	protein_coding
ENSMUSG00000042788	1349	ENSMUSP00000058980.3	Fam166b	protein_coding
ENSMUSG00000042790	3964	ENSMUSP00000060941.5	Rnf214	protein_coding
ENSMUSG00000042793	6675	ENSMUSP00000035444.7	Lgr6	protein_coding
ENSMUSG00000042796	1442	ENSMUSP00000078279.3	Olfr1032	protein_coding
ENSMUSG00000042797	3737	ENSMUSP00000146215.1	Aqp11	protein_coding
ENSMUSG00000042800	771	ENSMUSP00000062245.5	Spata46	protein_coding
ENSMUSG00000042801	4325	ENSMUSP00000149008.1	Olfr769	protein_coding
ENSMUSG00000042804	3838	ENSMUSP00000101275.1	Gpr153	protein_coding
ENSMUSG00000042807	11263	ENSMUSP00000113283.1	Hecw2	protein_coding
ENSMUSG00000042808	1067	ENSMUSP00000081012.3	Gpx2	protein_coding
ENSMUSG00000042810	8380	ENSMUSP00000076345.5	Krba1	protein_coding
ENSMUSG00000042812	2415	ENSMUSP00000137662.1	Foxf1	protein_coding
ENSMUSG00000042814	912	ENSMUSP00000100534.2	Mcts2	protein_coding
ENSMUSG00000042816	1633	ENSMUSP00000058887.3	Gpr151	protein_coding
ENSMUSG00000042817	3657	ENSMUSP00000039041.8	Flt3	protein_coding
ENSMUSG00000042821	1621	ENSMUSP00000050581.7	Snai1	protein_coding
ENSMUSG00000042826	3039	ENSMUSP00000099645.1	Fgf11	protein_coding
ENSMUSG00000042828	2134	ENSMUSP00000101855.1	Trim72	protein_coding
ENSMUSG00000042831	982	ENSMUSP00000051515.5	Alkbh6	protein_coding
ENSMUSG00000042834	2223	ENSMUSP00000058132.8	Nrep	protein_coding
ENSMUSG00000042842	2193	ENSMUSP00000105922.2	Serpinb6b	protein_coding
ENSMUSG00000042845	775	ENSMUSP00000050836.7	Wfdc12	protein_coding
ENSMUSG00000042846	3896	ENSMUSP00000101079.1	Lrrtm3	protein_coding
ENSMUSG00000042848	6084	ENSMUSP00000156517.1	Vmn1r226	protein_coding
ENSMUSG00000042849	6017	ENSMUSP00000054752.4	Olfr1414	protein_coding
ENSMUSG00000042851	4916	ENSMUSP00000105949.2	Zc3h6	protein_coding
ENSMUSG00000042854	4426	ENSMUSP00000115353.1	Trp53rkb	protein_coding
ENSMUSG00000042861	1913	ENSMUSP00000088118.5	Kcna10	protein_coding
ENSMUSG00000042863	1538	ENSMUSP00000150995.1	Olfr1026	protein_coding
ENSMUSG00000042869	4322	ENSMUSP00000149341.1	Olfr1370	protein_coding
ENSMUSG00000042870	2267	ENSMUSP00000130854.1	Tom1	protein_coding
ENSMUSG00000042873	4762	ENSMUSP00000124470.1	Lhfpl4	protein_coding
ENSMUSG00000042874	393	ENSMUSP00000050235.1	D930007J09Rik	protein_coding
ENSMUSG00000042888	2104	ENSMUSP00000139590.1	Prr30	protein_coding
ENSMUSG00000042894	4226	ENSMUSP00000107137.1	Olfr1260	protein_coding
ENSMUSG00000042895	2979	ENSMUSP00000051973.5	Abra	protein_coding
ENSMUSG00000042901	4279	ENSMUSP00000104795.2	Aida	protein_coding
ENSMUSG00000042903	3162	ENSMUSP00000059420.4	Foxo4	protein_coding
ENSMUSG00000042909	2929	ENSMUSP00000149047.1	Olfr648	protein_coding
ENSMUSG00000042918	1606	ENSMUSP00000114686.1	Mamstr	protein_coding
ENSMUSG00000042942	8420	ENSMUSP00000049003.8	Greb1l	protein_coding
ENSMUSG00000042961	4778	ENSMUSP00000055599.3	Egflam	protein_coding
ENSMUSG00000042978	4109	ENSMUSP00000060907.9	Sbk1	protein_coding
ENSMUSG00000042985	3530	ENSMUSP00000062312.6	Upk3b	protein_coding
ENSMUSG00000042988	2212	ENSMUSP00000101783.1	Notum	protein_coding
ENSMUSG00000042992	1764	ENSMUSP00000054913.8	Borcs5	protein_coding
ENSMUSG00000042993	805	ENSMUSP00000054273.6	Ifnk	protein_coding
ENSMUSG00000042997	5047	ENSMUSP00000055295.7	Nhlrc3	protein_coding
ENSMUSG00000043003	5183	ENSMUSP00000062771.6	Rasef	protein_coding
ENSMUSG00000043004	3826	ENSMUSP00000125697.1	Gng2	protein_coding
ENSMUSG00000043008	2389	ENSMUSP00000053023.8	Klhl6	protein_coding
ENSMUSG00000043013	3957	ENSMUSP00000058020.8	Onecut1	protein_coding
ENSMUSG00000043015	3396	ENSMUSP00000129351.1	Nemp2	protein_coding
ENSMUSG00000043017	3305	ENSMUSP00000122080.1	Ptgir	protein_coding
ENSMUSG00000043019	6327	ENSMUSP00000058941.5	Edem3	protein_coding
ENSMUSG00000043020	3176	ENSMUSP00000124475.1	Wdr63	protein_coding
ENSMUSG00000043029	5835	ENSMUSP00000053755.2	Trpv3	protein_coding
ENSMUSG00000043036	2299	ENSMUSP00000050582.7	Ccdc63	protein_coding
ENSMUSG00000043050	554	ENSMUSP00000053078.7	Tnp2	protein_coding
ENSMUSG00000043051	2860	ENSMUSP00000112410.1	Disc1	protein_coding
ENSMUSG00000043059	2228	ENSMUSP00000110238.1	Zfp513	protein_coding
ENSMUSG00000043060	3361	ENSMUSP00000051554.6	Fscb	protein_coding
ENSMUSG00000043061	2971	ENSMUSP00000050729.8	Tmem18	protein_coding
ENSMUSG00000043065	4627	ENSMUSP00000058832.6	Spice1	protein_coding
ENSMUSG00000043066	3304	ENSMUSP00000153860.1	Vmn1r66	protein_coding
ENSMUSG00000043067	4747	ENSMUSP00000110932.2	Dpy19l1	protein_coding
ENSMUSG00000043068	1338	ENSMUSP00000058156.5	Fam89a	protein_coding
ENSMUSG00000043073	1885	ENSMUSP00000147776.1	Usp17le	protein_coding
ENSMUSG00000043079	5159	ENSMUSP00000115355.1	Synpo	protein_coding
ENSMUSG00000043085	2898	ENSMUSP00000120973.1	Tmem82	protein_coding
ENSMUSG00000043087	1797	ENSMUSP00000150218.1	Olfr855	protein_coding
ENSMUSG00000043088	2940	ENSMUSP00000062103.7	Il17re	protein_coding
ENSMUSG00000043090	3245	ENSMUSP00000119781.1	Zfp866	protein_coding
ENSMUSG00000043091	1982	ENSMUSP00000051033.8	Tuba1c	protein_coding
ENSMUSG00000043099	3497	ENSMUSP00000053483.4	Hic1	protein_coding
ENSMUSG00000043102	2927	ENSMUSP00000055746.2	Qrfp	protein_coding
ENSMUSG00000043110	3715	ENSMUSP00000057005.2	Lrrn4	protein_coding
ENSMUSG00000043119	3024	ENSMUSP00000150419.1	Olfr448	protein_coding
ENSMUSG00000043122	2636	ENSMUSP00000056220.6	A530016L24Rik	protein_coding
ENSMUSG00000043131	4412	ENSMUSP00000054452.4	Mob1a	protein_coding
ENSMUSG00000043140	3391	ENSMUSP00000053862.8	Tmem186	protein_coding
ENSMUSG00000043144	2060	ENSMUSP00000023754.5	Aqp6	protein_coding
ENSMUSG00000043153	4022	ENSMUSP00000152392.1	Ispd	protein_coding
ENSMUSG00000043154	6786	ENSMUSP00000075327.5	Ppp2r3a	protein_coding
ENSMUSG00000043155	1804	ENSMUSP00000062327.3	Hpdl	protein_coding
ENSMUSG00000043157	2095	ENSMUSP00000153531.1	Arl11	protein_coding
ENSMUSG00000043162	3573	ENSMUSP00000050958.5	Pyurf	protein_coding
ENSMUSG00000043164	716	ENSMUSP00000049832.3	Tmem212	protein_coding
ENSMUSG00000043165	1779	ENSMUSP00000052128.6	Lor	protein_coding
ENSMUSG00000043183	4819	ENSMUSP00000113676.1	Simc1	protein_coding
ENSMUSG00000043190	2807	ENSMUSP00000055763.1	Rfesd	protein_coding
ENSMUSG00000043207	3429	ENSMUSP00000053900.2	Zmpste24	protein_coding
ENSMUSG00000043219	874	ENSMUSP00000058755.7	Hoxa6	protein_coding
ENSMUSG00000043226	4047	ENSMUSP00000150450.1	Olfr1009	protein_coding
ENSMUSG00000043230	2855	ENSMUSP00000052208.1	Fam124b	protein_coding
ENSMUSG00000043241	5174	ENSMUSP00000058375.6	Upf2	protein_coding
ENSMUSG00000043243	2267	ENSMUSP00000123432.1	Fam129c	protein_coding
ENSMUSG00000043251	2497	ENSMUSP00000053766.3	Exoc3l	protein_coding
ENSMUSG00000043252	4670	ENSMUSP00000055892.8	Tmem64	protein_coding
ENSMUSG00000043257	3979	ENSMUSP00000050647.4	Pigv	protein_coding
ENSMUSG00000043259	3380	ENSMUSP00000101076.2	Fam13c	protein_coding
ENSMUSG00000043262	4616	ENSMUSP00000091964.4	Uevld	protein_coding
ENSMUSG00000043263	3439	ENSMUSP00000061900.7	Ifi209	protein_coding
ENSMUSG00000043267	1946	ENSMUSP00000149225.1	Olfr1031	protein_coding
ENSMUSG00000043274	5245	ENSMUSP00000154459.1	Olfr1123	protein_coding
ENSMUSG00000043279	9279	ENSMUSP00000058109.5	Trim56	protein_coding
ENSMUSG00000043282	2527	ENSMUSP00000058437.3	Teddm1b	protein_coding
ENSMUSG00000043284	1511	ENSMUSP00000128654.1	Tmem11	protein_coding
ENSMUSG00000043286	4484	ENSMUSP00000050123.5	Pnpla1	protein_coding
ENSMUSG00000043289	2670	ENSMUSP00000061341.2	Mei4	protein_coding
ENSMUSG00000043290	2153	ENSMUSP00000051979.4	Zfp784	protein_coding
ENSMUSG00000043298	2056	ENSMUSP00000066235.3	Smco3	protein_coding
ENSMUSG00000043300	2028	ENSMUSP00000058363.1	B3galnt1	protein_coding
ENSMUSG00000043301	3627	ENSMUSP00000130321.1	Kcnj6	protein_coding
ENSMUSG00000043308	6638	ENSMUSP00000154540.1	Vmn1r75	protein_coding
ENSMUSG00000043310	5153	ENSMUSP00000148964.1	Olfr571	protein_coding
ENSMUSG00000043311	2142	ENSMUSP00000061264.5	D17H6S53E	protein_coding
ENSMUSG00000043312	1714	ENSMUSP00000150562.1	Olfr131	protein_coding
ENSMUSG00000043313	7138	ENSMUSP00000053326.5	Pcdhb19	protein_coding
ENSMUSG00000043314	2404	ENSMUSP00000148907.1	Olfr30	protein_coding
ENSMUSG00000043319	458	ENSMUSP00000056155.3	Cox8c	protein_coding
ENSMUSG00000043323	4720	ENSMUSP00000063879.5	Fbrsl1	protein_coding
ENSMUSG00000043331	2848	ENSMUSP00000150664.1	Olfr975	protein_coding
ENSMUSG00000043333	1217	ENSMUSP00000054546.5	Rhbdl2	protein_coding
ENSMUSG00000043336	4452	ENSMUSP00000124179.1	Filip1l	protein_coding
ENSMUSG00000043342	2136	ENSMUSP00000058490.8	Hoxd9	protein_coding
ENSMUSG00000043354	3282	ENSMUSP00000148993.1	Olfr577	protein_coding
ENSMUSG00000043357	1322	ENSMUSP00000147035.2	Olfr187	protein_coding
ENSMUSG00000043366	4695	ENSMUSP00000149274.1	Olfr78	protein_coding
ENSMUSG00000043372	1910	ENSMUSP00000053678.4	Hexim2	protein_coding
ENSMUSG00000043383	3269	ENSMUSP00000149966.1	Olfr1342	protein_coding
ENSMUSG00000043384	5843	ENSMUSP00000108769.1	Gprasp1	protein_coding
ENSMUSG00000043385	4050	ENSMUSP00000150848.1	Olfr267	protein_coding
ENSMUSG00000043388	2805	ENSMUSP00000061100.7	Tmem130	protein_coding
ENSMUSG00000043391	5164	ENSMUSP00000062303.7	2510009E07Rik	protein_coding
ENSMUSG00000043398	3150	ENSMUSP00000058762.4	Gpr135	protein_coding
ENSMUSG00000043410	5018	ENSMUSP00000108310.3	Hfm1	protein_coding
ENSMUSG00000043411	5741	ENSMUSP00000101466.1	Usp48	protein_coding
ENSMUSG00000043415	2832	ENSMUSP00000100617.2	Otud1	protein_coding
ENSMUSG00000043418	2790	ENSMUSP00000056642.3	Lrit2	protein_coding
ENSMUSG00000043419	2081	ENSMUSP00000146712.1	Rnf227	protein_coding
ENSMUSG00000043421	982	ENSMUSP00000060791.8	Hilpda	protein_coding
ENSMUSG00000043424	2379	ENSMUSP00000054421.9	Eif3j2	protein_coding
ENSMUSG00000043429	2055	ENSMUSP00000095053.2	Ccdc185	protein_coding
ENSMUSG00000043430	2548	ENSMUSP00000100594.1	Psapl1	protein_coding
ENSMUSG00000043432	2460	ENSMUSP00000061079.6	Leng9	protein_coding
ENSMUSG00000043439	2314	ENSMUSP00000051211.4	Epop	protein_coding
ENSMUSG00000043441	4222	ENSMUSP00000060893.5	Gpr149	protein_coding
ENSMUSG00000043445	2627	ENSMUSP00000052866.6	Pgp	protein_coding
ENSMUSG00000043448	2187	ENSMUSP00000104421.2	Gjc2	protein_coding
ENSMUSG00000043453	1821	ENSMUSP00000085832.4	Magea10	protein_coding
ENSMUSG00000043456	4621	ENSMUSP00000058468.6	Zfp536	protein_coding
ENSMUSG00000043458	3034	ENSMUSP00000050357.6	Pcdhb12	protein_coding
ENSMUSG00000043460	7537	ENSMUSP00000155111.1	Elfn2	protein_coding
ENSMUSG00000043461	1795	ENSMUSP00000062794.7	Sptssb	protein_coding
ENSMUSG00000043463	3980	ENSMUSP00000049739.6	Rab9b	protein_coding
ENSMUSG00000043467	18814	ENSMUSP00000125253.2	Zbtb37	protein_coding
ENSMUSG00000043468	3510	ENSMUSP00000060505.3	Adam30	protein_coding
ENSMUSG00000043472	491	ENSMUSP00000130993.2	Lce3d	protein_coding
ENSMUSG00000043485	1609	ENSMUSP00000056622.2	Krt34	protein_coding
ENSMUSG00000043487	3622	ENSMUSP00000152129.1	Acot6	protein_coding
ENSMUSG00000043496	5363	ENSMUSP00000116056.2	Tril	protein_coding
ENSMUSG00000043501	592	ENSMUSP00000036598.4	Lgals2	protein_coding
ENSMUSG00000043505	1953	ENSMUSP00000056820.5	Gimap5	protein_coding
ENSMUSG00000043510	804	ENSMUSP00000062811.5	Hscb	protein_coding
ENSMUSG00000043518	2204	ENSMUSP00000051618.7	Rai2	protein_coding
ENSMUSG00000043529	2195	ENSMUSP00000149899.1	Olfr266	protein_coding
ENSMUSG00000043531	7241	ENSMUSP00000132615.2	Sorcs1	protein_coding
ENSMUSG00000043535	10970	ENSMUSP00000051492.2	Setx	protein_coding
ENSMUSG00000043537	3986	ENSMUSP00000156633.1	Vmn1r225	protein_coding
ENSMUSG00000043541	2682	ENSMUSP00000107357.1	Casc1	protein_coding
ENSMUSG00000043542	3292	ENSMUSP00000054734.3	Zc2hc1a	protein_coding
ENSMUSG00000043549	2939	ENSMUSP00000043958.5	Fam90a1b	protein_coding
ENSMUSG00000043556	4632	ENSMUSP00000061305.9	Fbxl7	protein_coding
ENSMUSG00000043557	8425	ENSMUSP00000126529.1	Mdga1	protein_coding
ENSMUSG00000043569	814	ENSMUSP00000062601.5	Cldn34c4	protein_coding
ENSMUSG00000043572	3046	ENSMUSP00000102393.1	Pars2	protein_coding
ENSMUSG00000043583	1395	ENSMUSP00000050697.1	4930470P17Rik	protein_coding
ENSMUSG00000043587	3189	ENSMUSP00000113210.1	Pxylp1	protein_coding
ENSMUSG00000043592	2838	ENSMUSP00000074159.6	Unc5cl	protein_coding
ENSMUSG00000043602	2061	ENSMUSP00000054020.5	Zfp3	protein_coding
ENSMUSG00000043605	3677	ENSMUSP00000149893.1	Olfr13	protein_coding
ENSMUSG00000043613	1801	ENSMUSP00000034497.6	Mmp3	protein_coding
ENSMUSG00000043614	1544	ENSMUSP00000063762.4	Vps37d	protein_coding
ENSMUSG00000043621	3304	ENSMUSP00000101436.1	Ubxn10	protein_coding
ENSMUSG00000043629	3641	ENSMUSP00000055413.4	1700019D03Rik	protein_coding
ENSMUSG00000043631	3596	ENSMUSP00000060402.7	Ecm2	protein_coding
ENSMUSG00000043633	2045	ENSMUSP00000057398.6	Fam221b	protein_coding
ENSMUSG00000043635	3937	ENSMUSP00000132219.1	Adamts3	protein_coding
ENSMUSG00000043639	6592	ENSMUSP00000129447.1	Rbm20	protein_coding
ENSMUSG00000043648	948	ENSMUSP00000115503.1	Pld6	protein_coding
ENSMUSG00000043659	3791	ENSMUSP00000056432.4	Npsr1	protein_coding
ENSMUSG00000043664	1604	ENSMUSP00000058317.6	Tmem221	protein_coding
ENSMUSG00000043668	3356	ENSMUSP00000105250.3	Tox3	protein_coding
ENSMUSG00000043670	2953	ENSMUSP00000055605.4	Diras1	protein_coding
ENSMUSG00000043671	8006	ENSMUSP00000054747.8	Dpy19l3	protein_coding
ENSMUSG00000043673	2933	ENSMUSP00000060706.1	Kcns3	protein_coding
ENSMUSG00000043681	408	ENSMUSP00000063140.5	Fam25c	protein_coding
ENSMUSG00000043683	6801	ENSMUSP00000057996.3	Fem1a	protein_coding
ENSMUSG00000043687	844	ENSMUSP00000119467.1	1190005I06Rik	protein_coding
ENSMUSG00000043692	1796	ENSMUSP00000149917.1	Olfr399	protein_coding
ENSMUSG00000043698	2654	ENSMUSP00000149687.1	Olfr62	protein_coding
ENSMUSG00000043702	7725	ENSMUSP00000059666.9	Pde12	protein_coding
ENSMUSG00000043705	2614	ENSMUSP00000092832.3	Capn13	protein_coding
ENSMUSG00000043715	3637	ENSMUSP00000056853.4	Olfr1326-ps1	protein_coding
ENSMUSG00000043716	1163	ENSMUSP00000071616.6	Rpl7	protein_coding
ENSMUSG00000043719	8781	ENSMUSP00000096040.3	Col6a6	protein_coding
ENSMUSG00000043727	1925	ENSMUSP00000058047.5	F830045P16Rik	protein_coding
ENSMUSG00000043733	5599	ENSMUSP00000098333.2	Ptpn11	protein_coding
ENSMUSG00000043740	3996	ENSMUSP00000054890.6	B430306N03Rik	protein_coding
ENSMUSG00000043747	3726	ENSMUSP00000144253.1	1520401A03Rik	protein_coding
ENSMUSG00000043753	4079	ENSMUSP00000057488.2	Dmrta1	protein_coding
ENSMUSG00000043760	12935	ENSMUSP00000085794.5	Pkhd1	protein_coding
ENSMUSG00000043782	1990	ENSMUSP00000156752.1	Bicdl2	protein_coding
ENSMUSG00000043787	1003	ENSMUSP00000060899.7	Defb12	protein_coding
ENSMUSG00000043789	3540	ENSMUSP00000056958.7	Vwce	protein_coding
ENSMUSG00000043807	1176	ENSMUSP00000138033.1	Ly6g5b	protein_coding
ENSMUSG00000043811	1938	ENSMUSP00000062924.5	Rtn4r	protein_coding
ENSMUSG00000043822	1957	ENSMUSP00000093097.3	Adamtsl5	protein_coding
ENSMUSG00000043827	1611	ENSMUSP00000153315.1	Olfr94	protein_coding
ENSMUSG00000043831	3772	ENSMUSP00000147179.1	Lysmd4	protein_coding
ENSMUSG00000043832	1300	ENSMUSP00000085816.4	Clec4a3	protein_coding
ENSMUSG00000043843	2298	ENSMUSP00000104046.1	Tmem145	protein_coding
ENSMUSG00000043850	3083	ENSMUSP00000052254.6	Clrn1	protein_coding
ENSMUSG00000043855	3248	ENSMUSP00000149060.1	Olfr479	protein_coding
ENSMUSG00000043857	4258	ENSMUSP00000099316.3	Mgat5b	protein_coding
ENSMUSG00000043865	900	ENSMUSP00000053700.3	Tas2r118	protein_coding
ENSMUSG00000043866	4281	ENSMUSP00000118105.1	Taf10	protein_coding
ENSMUSG00000043872	3852	ENSMUSP00000101708.2	Zmym1	protein_coding
ENSMUSG00000043873	1296	ENSMUSP00000142477.1	Chil5	protein_coding
ENSMUSG00000043880	1916	ENSMUSP00000151137.1	Olfr323	protein_coding
ENSMUSG00000043881	4526	ENSMUSP00000060768.7	Kbtbd7	protein_coding
ENSMUSG00000043885	6539	ENSMUSP00000057355.7	Slc36a4	protein_coding
ENSMUSG00000043892	3186	ENSMUSP00000151090.1	Olfr1018	protein_coding
ENSMUSG00000043895	6394	ENSMUSP00000053394.5	S1pr2	protein_coding
ENSMUSG00000043897	5266	ENSMUSP00000135110.1	Vmn2r2	protein_coding
ENSMUSG00000043909	9621	ENSMUSP00000106278.1	Trp53bp1	protein_coding
ENSMUSG00000043911	4028	ENSMUSP00000149057.1	Olfr922	protein_coding
ENSMUSG00000043913	3522	ENSMUSP00000049912.6	Ccdc60	protein_coding
ENSMUSG00000043923	2675	ENSMUSP00000148874.1	Ccdc84	protein_coding
ENSMUSG00000043924	2000	ENSMUSP00000101486.2	Ncmap	protein_coding
ENSMUSG00000043925	3270	ENSMUSP00000051280.4	Olfr544	protein_coding
ENSMUSG00000043929	6241	ENSMUSP00000109548.1	Klhl15	protein_coding
ENSMUSG00000043931	1269	ENSMUSP00000057143.7	Gimap7	protein_coding
ENSMUSG00000043932	3913	ENSMUSP00000052805.5	Klri2	protein_coding
ENSMUSG00000043939	4337	ENSMUSP00000156488.1	A530064D06Rik	protein_coding
ENSMUSG00000043940	14274	ENSMUSP00000052607.7	Wdfy3	protein_coding
ENSMUSG00000043943	4066	ENSMUSP00000130752.1	Naalad2	protein_coding
ENSMUSG00000043945	2558	ENSMUSP00000059315.1	Adam6a	protein_coding
ENSMUSG00000043948	2327	ENSMUSP00000150297.1	Olfr691	protein_coding
ENSMUSG00000043953	2459	ENSMUSP00000107519.1	Ccrl2	protein_coding
ENSMUSG00000043962	4378	ENSMUSP00000079722.5	Thrap3	protein_coding
ENSMUSG00000043964	2141	ENSMUSP00000113142.1	Orai3	protein_coding
ENSMUSG00000043969	2916	ENSMUSP00000053361.2	Emx2	protein_coding
ENSMUSG00000043972	1906	ENSMUSP00000063542.6	Opn5	protein_coding
ENSMUSG00000043982	304	ENSMUSP00000056250.2	Krtap19-4	protein_coding
ENSMUSG00000043986	3827	ENSMUSP00000128200.1	Spata31d1d	protein_coding
ENSMUSG00000043987	6105	ENSMUSP00000149815.1	Cep164	protein_coding
ENSMUSG00000043991	3145	ENSMUSP00000059404.3	Pura	protein_coding
ENSMUSG00000043998	2614	ENSMUSP00000057905.8	Mgat2	protein_coding
ENSMUSG00000043999	2926	ENSMUSP00000105057.1	Gpr75	protein_coding
ENSMUSG00000044005	2573	ENSMUSP00000047376.6	Gls2	protein_coding
ENSMUSG00000044006	4314	ENSMUSP00000061544.7	Cilp2	protein_coding
ENSMUSG00000044014	2314	ENSMUSP00000065157.7	Npy5r	protein_coding
ENSMUSG00000044017	5163	ENSMUSP00000060307.7	Adgrd1	protein_coding
ENSMUSG00000044018	2114	ENSMUSP00000062476.3	Mrpl50	protein_coding
ENSMUSG00000044022	4705	ENSMUSP00000056424.4	Pcdhb21	protein_coding
ENSMUSG00000044024	2150	ENSMUSP00000135556.1	Rell2	protein_coding
ENSMUSG00000044025	2659	ENSMUSP00000149037.1	Olfr790	protein_coding
ENSMUSG00000044026	3471	ENSMUSP00000061282.2	Slc35g1	protein_coding
ENSMUSG00000044029	2103	ENSMUSP00000148922.1	Olfr178	protein_coding
ENSMUSG00000044030	2734	ENSMUSP00000061234.3	Irf2bp1	protein_coding
ENSMUSG00000044033	8969	ENSMUSP00000052945.7	Ccdc141	protein_coding
ENSMUSG00000044034	542	ENSMUSP00000101801.2	Npb	protein_coding
ENSMUSG00000044037	5150	ENSMUSP00000115718.1	Als2cl	protein_coding
ENSMUSG00000044039	1326	ENSMUSP00000150331.1	Olfr1288	protein_coding
ENSMUSG00000044040	1672	ENSMUSP00000149151.1	Olfr1497	protein_coding
ENSMUSG00000044041	1654	ENSMUSP00000007275.2	Krt13	protein_coding
ENSMUSG00000044042	11817	ENSMUSP00000097171.2	Fmn1	protein_coding
ENSMUSG00000044043	8695	ENSMUSP00000054111.3	Pcdhb14	protein_coding
ENSMUSG00000044052	1726	ENSMUSP00000062588.3	Ccr10	protein_coding
ENSMUSG00000044055	704	ENSMUSP00000061683.3	Otos	protein_coding
ENSMUSG00000044056	754	ENSMUSP00000060205.2	Efcab9	protein_coding
ENSMUSG00000044066	4804	ENSMUSP00000054943.7	Cep68	protein_coding
ENSMUSG00000044067	4587	ENSMUSP00000056125.4	Gpr22	protein_coding
ENSMUSG00000044068	4492	ENSMUSP00000062025.5	Zrsr1	protein_coding
